URL,Name,fiber_g,sodium_g,carbohydrates_g,fat_g,protein_g,sugar_g,saturate_g,size_g,Servings,calories_kCal,category,image_link,fat_100g,fiber_100g,sugar_100g,saturated_100g,protien_100g,sodium_100mg,carbohydrates_100g,kj_100g,Nutri_score,Fsa_new,salt_100g,salt_g,fat_count,satfat_count,sugar_count,salt_count,NumberRatings
http://allrecipes.com/recipe/goat-cheese-and-spinach-turkey-burgers/detail.aspx,Goat Cheese and Spinach Turkey Burgers,1.1,0.21,1.7,15.3,31.9,0.3,4.6,850.53,4,278,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/10/26/102616.jpg,7.195513386,0.517324492,0.141088498,2.163356966,,98.76194843,0.799501487,547.3906388,A,6,0.250855349,0.5334,2,2,1,1,68
http://allrecipes.com/recipe/penne-with-spicy-vodka-tomato-cream-sauce/detail.aspx,Penne with Spicy Vodka Tomato Cream Sauce,4.6,0.54,52.7,18.4,13.3,1,6.2,1655.2,8,435,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/61/36/613670.jpg,8.893185114,2.223296278,0.483325278,2.996616723,,260.9956501,25.47124215,880.260029,A,8,0.662928951,1.3716,2,3,1,2,308
http://allrecipes.com/recipe/garden-veggie-pizza-squares/detail.aspx,Garden Veggie Pizza Squares,0.7,0.16,6,4.8,1.8,0.7,3,841,24,75,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/48/68/486848.jpg,13.6979786,1.997621879,1.997621879,8.561236623,,456.5992866,17.12247325,896.1046373,D,8,1.159762188,0.4064,2,3,1,2,162
http://allrecipes.com/recipe/slow-cooker-lemon-garlic-chicken-ii/detail.aspx,Slow Cooker Lemon Garlic Chicken II,0.2,0.35,1.3,7,29.6,0.3,3.3,1055.87,6,192,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/01/55/50/1555081.jpg,3.977762414,0.113650355,0.170475532,1.875230852,,198.8881207,0.738727305,456.7980528,A,7,0.505175827,0.889,2,2,1,2,224
http://allrecipes.com/recipe/chicken-breasts-with-balsamic-vinegar-and-garlic/detail.aspx,Chicken Breasts with Balsamic Vinegar and Garlic,1.1,0.29,9.9,11.6,30.9,3.9,3.2,1096.33,4,268,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/19/78/197877.jpg,4.232302318,0.401339013,1.422929228,1.167531674,,105.8075579,3.612051116,409.38856,A,5,0.268751197,0.7366,2,1,1,1,669
http://allrecipes.com/recipe/pineapple-chicken-tenders/detail.aspx,Pineapple Chicken Tenders,0.1,0.33,14.7,2.2,19.4,13.3,0.6,1363,10,160,Barbecue,http://images.media-allrecipes.com/userphotos/350x350/00/44/29/442914.jpg,1.614086574,0.073367572,9.757887014,0.440205429,,242.1129861,10.78503302,491.4805576,B,6,0.614966985,0.8382,1,1,2,2,166
http://allrecipes.com/recipe/slow-cooker-sweet-and-tangy-chicken/detail.aspx,Slow Cooker Sweet and Tangy Chicken,1.7,1.46,56.1,2.8,23.4,41.4,0.7,2607,8,349,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/06/63/66378.jpg,0.859225163,0.52167242,12.70425777,0.214806291,,448.0245493,17.21518987,448.390702,B,8,1.137982355,3.7084,1,1,3,3,117
http://allrecipes.com/recipe/easy-herb-roasted-turkey/detail.aspx,Easy Herb Roasted Turkey,0.2,0.31,0.9,33.7,68.2,0.3,8.3,6039.21,16,597,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/74/30/743081.jpg,8.928320095,0.052987063,0.079480594,2.198963109,,82.12994746,0.238441783,662.211011,A,8,0.208610067,0.7874,3,3,1,1,132
http://allrecipes.com/recipe/quick-and-easy-pancit/detail.aspx,Quick and Easy Pancit,7.3,0.79,65.1,4.9,18.1,7.1,1.3,2021.54,6,369,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/40/77/407713.jpg,1.454336793,2.166665018,2.107304332,0.385844455,,234.4747074,19.3219031,458.5402812,A,6,0.595565757,2.0066,1,1,1,3,100
http://allrecipes.com/recipe/black-beans-and-rice/detail.aspx,Black Beans and Rice,6.2,0.35,27.1,0.9,6.3,0.6,0.2,1447.06,10,140,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/12/40/124081.jpg,0.621950714,4.284549362,0.414633809,0.13821127,,241.8697221,18.72762705,405.0640609,A,5,0.614349094,0.889,1,1,1,2,215
http://allrecipes.com/recipe/slow-cooker-adobo-chicken/detail.aspx,Slow Cooker Adobo Chicken,0.5,1.12,5.3,14.7,23,1.2,4,1766.75,6,254,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/01/12/68/1126855.jpg,4.992217348,0.169803311,0.407527947,1.358426489,,380.359417,1.799915098,361.1537116,B,7,0.966112919,2.8448,2,1,1,3,180
http://allrecipes.com/recipe/crunchy-oven-fried-tilapia/detail.aspx,Crunchy Oven Fried Tilapia,1,0.27,18,2.1,27.5,0.7,0.4,616.89,4,209,Seafood Pasta and Noodles,http://images.media-allrecipes.com/userphotos/350x350/00/62/44/624421.jpg,1.361669017,0.648413818,0.453889672,0.259365527,,175.0717308,11.67144872,567.3888051,A,5,0.444682196,0.6858,1,1,1,2,119
