person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,recipe_name,user_id,recipe_id
1082,b25_35,US,High_school,No Dietary Restrictions,"Eat less sugar,Eat more protein",Medium,Neither_healthy_no_unhealthy,Male,Souvlaki,1082,159
1084,b35_45,US,High_school,No Dietary Restrictions,Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Kickin' London Broil with Bleu Cheese Butter,1084,103
1087,b25_35,US,BA,"Diabetes, Vegetarian","Eat less salt,Eat less sugar,Eat more fruit,Eat more vegetables",Medium,Healthy,Male,Italian Subs - Restaurant Style,1087,98
1088,b25_35,US,BA,No Dietary Restrictions,No goals,Very High,Very_Healthy,Male,Baked Halibut Steaks,1088,13
1091,b45_55,US,BA,Halal,Eat less salt,High,Healthy,Male,Coconut Shrimp I,1091,60
1100,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Healthy,Male,Crustless Spinach Quiche,1100,62
1101,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Healthy,Male,Grilled Sausage with Potatoes and Green Beans,1101,90
1102,b25_35,US,BA,Halal,Eat more fruit,Medium,Very_Healthy,Male,Bow Ties with Sausage' Tomatoes and Cream,1102,28
1103,b35_45,US,High_school,"Halal, Kosher","Eat more fruit,Eat more protein",Very High,Healthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,1103,143
1104,b25_35,US,MSc,No Dietary Restrictions,No goals,Medium,Healthy,Female,Charley's Slow Cooker Mexican Style Meat,1104,39
1105,b45_55,US,High_school,No Dietary Restrictions,No goals,Very High,Healthy,Female,Spinach and Feta Turkey Burgers,1105,167
1106,b25_35,US,BA,No Dietary Restrictions,No goals,High,Healthy,Male,G's Flank Steak Marinade,1106,75
1107,bover_55,US,High_school,No Dietary Restrictions,"Eat more vegetables,Lose weight",Medium,Unhealthy,Female,Bacon Wrapped Pork Medallions,1107,12
1108,b25_35,US,BA,Vegetarian,Eat more fruit,Very High,Very_Healthy,Male,Pizza On The Grill I,1108,120
1109,b25_35,US,MSc,No Dietary Restrictions,No goals,High,Healthy,Male,Beef Stroganoff III,1109,20
1110,b45_55,US,BA,No Dietary Restrictions,Lose weight,Low,Unhealthy,Male,Souvlaki,1110,159
1111,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Medium,Healthy,Female,Simple Carnitas,1111,149
1112,b25_35,US,BA,No Dietary Restrictions,"Eat more protein,Eat more vegetables",Medium,Healthy,Male,Kalua Pig in a Slow Cooker,1112,101
1115,b25_35,US,High_school,Gluten-free,"Eat less sugar,Eat more vegetables,Lose weight",Medium,Healthy,Female,Italian Sausage' Peppers' and Onions,1115,97
1116,b25_35,US,MSc,No Dietary Restrictions,Eat less sugar,Medium,Healthy,Male,Champagne Shrimp and Pasta,1116,38
