person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,category,recipe_name,healthiness,Nutri_score,fsa_score,SValue_Nor,Slabel,recommend_recipe,become_favorite,enjoy_eating,many_to_choose,easy_choice,choice_overwhelming,condition
120,b45_55,US,MSc,['No dietary restrictions'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables', 'Gain weight']",Medium,Healthy,Female,Fruits and Vegetables,Bacon Jack Chicken Sandwich,unhealthy,B,10,0.338754507,Medium,Neutral,Agree,Neutral,Neutral,Agree,Neutral,No label
121,b35_45,US,BA,['Diabetes'],"['Eat less salt', 'Eat less sugar']",Medium,Healthy,Male,Fruits and Vegetables,Spinach and Feta Turkey Burgers,healthy,A,7,0.207379914,Medium,Agree,Agree,Strongly_Agree,Disagree,Strongly_Agree,Neutral,No label
122,b25_35,US,BA,"['Kosher', ' Lactose intolerance', ' Vegetarian']","['Eat less sugar', 'Eat more fruit', 'Eat more vegetables']",Medium,Neither_healthy_no_unhealthy,Male,Fruits and Vegetables,Mama's Best Broiled Tomato Sandwich,unhealthy,A,9,0.228262331,Medium,Agree,Neutral,Agree,Disagree,Agree,Neutral,No label
123,b25_35,US,High_school,['No dietary restrictions'],['No goals'],Low,Neither_healthy_no_unhealthy,Male,Meat and Poultry,Garlic Prime Rib,unhealthy,C,9,0.057800934,High,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,No label
124,b25_35,US,BA,['Diabetes'],['Eat more protein'],Medium,Very_Healthy,Male,Seafood Pasta and Noodles,Linguine Pasta with Shrimp and Tomatoes,healthy,A,5,0.362947204,Medium,Agree,Strongly_Agree,Agree,Neutral,Disagree,Neutral,No label
125,b25_35,US,BA,['Pescatarian'],['Eat more fruit'],High,Very_Healthy,Female,Fruits and Vegetables,California Grilled Veggie Sandwich,healthy,B,8,0.271121078,Medium,Agree,Strongly_Disagree,Strongly_Disagree,Agree,Strongly_Agree,Agree,No label
126,b35_45,US,BA,['No dietary restrictions'],"['Eat less salt', 'Eat less sugar', 'Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Neither_healthy_no_unhealthy,Male,Barbecue,Shoyu Chicken,healthy,C,8,0.114824522,High,Neutral,Agree,Agree,Disagree,Neutral,Disagree,No label
127,b45_55,US,MSc,['No dietary restrictions'],"['Eat less sugar', 'Eat more fruit', 'Eat more protein']",Medium,Neither_healthy_no_unhealthy,Female,Fruits and Vegetables,Spinach and Feta Turkey Burgers,healthy,A,7,0.207379914,Medium,Neutral,Agree,Neutral,Neutral,Agree,Neutral,No label
128,b25_35,US,BA,"['Diabetes', ' Kosher', ' Lactose intolerance', ' Pescatarian']","['Eat less salt', 'Eat less sugar', 'Eat more fruit', 'Eat more protein', 'Eat more vegetables']",Very High,Healthy,Female,Fruits and Vegetables,Grilled Marinated Shrimp,unhealthy,C,9,0.164965879,High,Strongly_Agree,Strongly_Agree,Agree,Strongly_Agree,Agree,Agree,No label
129,b25_35,US,BA,['Vegetarian'],"['Eat less sugar', 'Eat more fruit', 'Eat more vegetables']",High,Very_Healthy,Male,Fruits and Vegetables,California Grilled Veggie Sandwich,healthy,B,8,0.271121078,Medium,Agree,Agree,Agree,Strongly_Disagree,Agree,Disagree,No label
130,b25_35,US,BA,"['Kosher', ' Lactose intolerance']","['Eat less sugar', 'Eat more fruit']",High,Healthy,Male,Meat and Poultry,G's Flank Steak Marinade,healthy,D,8,0.386426398,Low,Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,Agree,No label
131,b45_55,US,MSc,['No dietary restrictions'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables', 'Gain weight']",Medium,Neither_healthy_no_unhealthy,Female,Fruits and Vegetables,Charley's Slow Cooker Mexican Style Meat,healthy,B,8,0.088227962,High,Neutral,Agree,Neutral,Neutral,Agree,Neutral,No label
132,b25_35,US,BA,"['Diabetes', ' Gluten free']","['Eat less sugar', 'Eat more fruit']",High,Healthy,Male,Fruits and Vegetables,Grilled Sausage with Potatoes and Green Beans,unhealthy,D,10,0.287695638,Medium,Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,Strongly_Agree,No label
133,b25_35,US,BA,['No dietary restrictions'],['No goals'],High,Healthy,Male,Meat and Poultry,Sloppy Joes II,healthy,B,8,0.333741743,Medium,Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,Agree,No label
134,b25_35,US,BA,['Vegetarian'],['Eat more vegetables'],Medium,Very_Healthy,Female,Fruits and Vegetables,Sausage' Peppers' Onions' and Potato Bake,unhealthy,A,10,0.152794512,High,Neutral,Agree,Neutral,Agree,Neutral,Strongly_Agree,No label
135,b25_35,US,BA,"['Halal', ' Kosher', ' Lactose intolerance']","['Eat more protein', 'Eat more vegetables']",Medium,Healthy,Male,Seafood Pasta and Noodles,Champagne Shrimp and Pasta,healthy,B,8,0.396207932,Low,Strongly_Agree,Agree,Strongly_Agree,Neutral,Disagree,Agree,No label
136,b45_55,US,MSc,['Vegetarian'],['No goals'],High,Healthy,Male,Fruits and Vegetables,Italian Subs - Restaurant Style,unhealthy,D,10,0.35244794,Medium,Agree,Strongly_Agree,Strongly_Agree,Neutral,Agree,Neutral,No label
137,b25_35,US,MSc,['Vegetarian'],['Eat more fruit'],High,Very_Healthy,Male,Fruits and Vegetables,Queenie's Killer Tomato Bagel Sandwich,healthy,B,8,0.095444274,High,Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,Agree,No label
138,b45_55,US,MSc,['No dietary restrictions'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables', 'Gain weight']",Medium,Neither_healthy_no_unhealthy,Female,Fruits and Vegetables,Chicken Asparagus Roll-Ups,unhealthy,C,10,0.27025886,Medium,Neutral,Agree,Neutral,Neutral,Agree,Neutral,No label
