person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,recipe_name,healthiness,Nutri_score,fsa_score,recommend_recipe,become_favorite,enjoy_eating,many_to_choose,easy_choice,choice_overwhelming,condition,num_nutri,str_condition
1147,b25_35,US,BA,Vegetarian,Gain weight,Medium,Healthy,Male,Linguine Pasta with Shrimp and Tomatoes,healthy,A,5,Agree,Strongly_Agree,Agree,Neutral,Disagree,Neutral,2,1,MTL
1148,b35_45,US,BA,"Diabetes, Halal","Eat less salt,Eat less sugar,Eat more fruit,Eat more vegetables",High,Healthy,Female,Baked Halibut Steaks,healthy,A,5,Agree,Strongly_Agree,Agree,Neutral,Neutral,Neutral,2,1,MTL
1149,b25_35,US,High_school,No Dietary Restrictions,Lose weight,High,Healthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,unhealthy,B,12,Agree,Strongly_Agree,Strongly_Agree,Agree,Disagree,Agree,2,2,MTL
1150,bover_55,US,MSc,Vegetarian,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Very High,Very_Healthy,Female,Bow Ties with Sausage' Tomatoes and Cream,unhealthy,C,10,Agree,Neutral,Agree,Disagree,Neutral,Neutral,2,3,MTL
1152,bover_55,US,MSc,No Dietary Restrictions,"Eat less sugar,Eat more fruit,Eat more vegetables",High,Healthy,Female,Pico de Gallo Chicken Quesadillas,unhealthy,B,10,Agree,Strongly_Agree,Strongly_Agree,Agree,Disagree,Strongly_Disagree,2,2,MTL
1153,bover_55,US,High_school,No Dietary Restrictions,"Eat more fruit,Eat more vegetables",Medium,Healthy,Female,Stuffed Peppers My Way,unhealthy,B,9,Agree,Agree,Agree,Agree,Neutral,Agree,2,2,MTL
1154,b25_35,US,High_school,No Dietary Restrictions,"Eat less sugar,Eat more vegetables,Lose weight",High,Neither_healthy_no_unhealthy,Female,Easy Chicken Satay,unhealthy,D,10,Agree,Agree,Strongly_Agree,Disagree,Strongly_Agree,Agree,2,4,MTL
1155,b35_45,US,BA,No Dietary Restrictions,"Eat more protein,Lose weight",High,Very_Healthy,Female,Coconut Shrimp I,healthy,A,7,Agree,Strongly_Agree,Strongly_Agree,Disagree,Agree,Strongly_Disagree,2,1,MTL
1157,bover_55,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit",Medium,Neither_healthy_no_unhealthy,Male,Kielbasa with Peppers and Potatoes,unhealthy,A,9,Agree,Agree,Agree,Disagree,Disagree,Disagree,2,1,MTL
1158,b45_55,US,BA,Vegetarian,"Eat more fruit,Eat more protein,Eat more vegetables",Medium,Healthy,Female,California Grilled Veggie Sandwich,healthy,B,8,Agree,Neutral,Agree,Neutral,Agree,Neutral,2,2,MTL
1159,bover_55,US,MSc,Diabetes,"Eat less sugar,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Clam Sauce with Linguine,unhealthy,B,10,Agree,Agree,Strongly_Agree,Disagree,Agree,Strongly_Disagree,2,2,MTL
1160,b25_35,US,BA,No Dietary Restrictions,Eat more vegetables,Medium,Neither_healthy_no_unhealthy,Female,Asian Beef Skewers,healthy,C,7,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Disagree,2,3,MTL
1161,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Pizza On The Grill I,healthy,C,7,Agree,Agree,Agree,Agree,Disagree,Agree,2,3,MTL
1162,bover_55,US,BA,Halal,Eat more vegetables,Very High,Very_Healthy,Female,Easy Chicken Satay,unhealthy,D,10,Strongly_Agree,Strongly_Agree,Strongly_Agree,Disagree,Strongly_Disagree,Neutral,2,4,MTL
1163,b35_45,US,BA,Vegetarian,"Eat more fruit,Eat more protein",High,Healthy,Female,California Grilled Veggie Sandwich,healthy,B,8,Agree,Neutral,Agree,Agree,Agree,Neutral,2,2,MTL
1164,b25_35,UM,BA,No Dietary Restrictions,"Eat less sugar,Eat more protein",Medium,Healthy,Female,Peppered Shrimp Alfredo,unhealthy,C,10,Agree,Strongly_Agree,Strongly_Agree,Disagree,Agree,Strongly_Disagree,2,3,MTL
1165,b45_55,US,MSc,"Diabetes, Vegetarian","Eat more fruit,Eat more protein,Eat more vegetables",Very High,Very_Healthy,Female,Chicken and Bacon Shish Kabobs,healthy,B,8,Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,Agree,2,2,MTL
